,Village,Group ID,Member ID,Branch Name,Circle Name,Loan Amount,Product Type,Name of Model,Product Detail,Institution Name,Manufacturer Name,Loan Account Number,Loan Application Date,Product Installed Date,Document Signature Date,loan_id,household_id,product_id,branch_id,partner_id
0,Honnavalli,27674,1,Tiptur,J.C Pura,15500,Solar Light Selco,SH4HLS,4 COMBI Light,SKDRDP,SELCO,99155,2018-06-12T00:00:00+05:30,2018-06-18T00:00:00+05:30,2018-06-12T00:00:00+05:30,57-99155,27674-1,50.0,55.0,1
1,Amaramudnooru,650604,15,Sullia,Bellare,53000,Solar Light Selco,S15HLS,12 CFL + 2 Fan,SKDRDP,SELCO,369065,2019-01-07T00:00:00+05:30,2019-01-10T00:00:00+05:30,2019-01-07T00:00:00+05:30,4-369065,650604-15,42.0,4.0,1
2,PURASABHE,376321,6,Holenarasipura,PURASABHE,9000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,169976,2018-06-02T00:00:00+05:30,2018-06-04T00:00:00+05:30,2018-06-02T00:00:00+05:30,102-169976,376321-6,35.0,94.0,1
3,Mekalmardi,60589,4,Bailahongal,Nesargi,8000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,137608,2018-09-24T00:00:00+05:30,2018-09-25T00:00:00+05:30,2018-09-24T00:00:00+05:30,50-137608,60589-4,35.0,48.0,1
4,Bijkal,287722,2,Kushtagi,kushtagi,36000,Solar Light Selco,S10HLS,10 CFL,SKDRDP,SELCO,114405,2019-03-15T00:00:00+05:30,2019-03-18T00:00:00+05:30,2019-03-15T00:00:00+05:30,83-114405,287722-2,40.0,80.0,1
5,Vatalu,222152,7,Thirumakodlu-Narasipura,MUGURU,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,160991,2019-01-01T00:00:00+05:30,2019-01-04T00:00:00+05:30,2019-01-01T00:00:00+05:30,69-160991,222152-7,38.0,66.0,1
6,H.D.Pura,316447,2,Holalkere,HD Pura,11000,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,108271,2017-12-01T00:00:00+05:30,2017-12-04T00:00:00+05:30,2017-12-01T00:00:00+05:30,80-108271,316447-2,43.0,77.0,1
7,NELLIKAR,660189,3,Karkala,Hosmar,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,945091,2019-01-13T00:00:00+05:30,2019-01-14T00:00:00+05:30,2019-01-13T00:00:00+05:30,3-945091,660189-3,38.0,3.0,1
8,Kodiyal C,130879,7,Ranebennur,Ranebennur 02,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,126625,2018-11-20T000000+0530,2018-11-22T000000+0530,2018-11-20T000000+0530,34-126625,130879-7,38.0,34.0,1
9,Navelehal,283430,11,Channagere,Kabbala,9000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,191584,2018-09-26T00:00:00+05:30,2018-09-28T00:00:00+05:30,2018-09-26T00:00:00+05:30,91-191584,283430-11,35.0,88.0,1
